depth,gamma_api,density_gcc,resistivity_ohmm,lithology_code,lithology_source
0.0,72.0,2.05,55.0,SOIL,SOIL
0.5,72.583,2.052,55.6,SOIL,SOIL
1.0,73.152,2.055,56.197,SOIL,SOIL
1.5,73.694,2.057,56.79,SOIL,SOIL
2.0,74.197,2.06,57.377,SOIL,SOIL
2.5,74.65,2.062,57.955,SOIL,SOIL
3.0,75.042,2.065,58.523,SOIL,SOIL
3.5,75.364,2.067,59.078,SOIL,SOIL
4.0,75.611,2.069,59.618,SOIL,SOIL
4.5,75.777,2.072,60.141,SOIL,SOIL
5.0,75.861,2.074,60.646,SOIL,SOIL
5.5,75.861,2.076,61.131,SOIL,SOIL
6.0,75.781,2.078,61.594,SOIL,SOIL
6.5,75.623,2.08,62.033,SOILSNDY,SANDY SOIL
7.0,75.395,2.082,62.446,SOILSNDY,SANDY SOIL
7.5,75.105,2.084,62.833,SOILSNDY,SANDY SOIL
8.0,74.761,2.086,63.192,SOILSNDY,SANDY SOIL
8.5,74.376,2.088,63.521,SOILSNDY,SANDY SOIL
9.0,73.961,2.089,63.82,SOILSNDY,SANDY SOIL
9.5,73.529,2.091,64.086,SOILSNDY,SANDY SOIL
10.0,73.093,2.092,64.32,SOILSNDY,SANDY SOIL
10.5,72.668,2.093,64.521,SOILSNDY,SANDY SOIL
11.0,72.264,2.095,64.687,SOILSNDY,SANDY SOIL
11.5,71.896,2.096,64.819,SOILSNDY,SANDY SOIL
12.0,71.574,2.097,64.915,SOILSNDY,SANDY SOIL
12.5,71.307,2.097,64.975,SOILSNDY,SANDY SOIL
13.0,71.105,2.098,64.999,SOILSNDY,SANDY SOIL
13.5,70.974,2.099,64.988,SOILSNDY,SANDY SOIL
14.0,70.917,2.099,64.94,SOILSNDY,SANDY SOIL
14.5,70.938,2.1,64.857,SOILSNDY,SANDY SOIL
15.0,71.036,2.1,64.738,SOILSNDY,SANDY SOIL
15.5,71.209,2.1,64.585,SLUDGE,SLUDGE
16.0,71.453,2.1,64.396,SLUDGE,SLUDGE
16.5,71.762,2.1,64.174,SLUDGE,SLUDGE
17.0,72.128,2.1,63.919,SLUDGE,SLUDGE
